"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
0.000522159642532867,36,4319,"Regulation of biological quality ","FERMT3 WAS SLC11A1 JAK3 CXCR4 F2RL3 C5AR2 KCNK13 CCR5 GPR4 C5AR1 MT1A SERPINF2 MAFB SCIN GIPR TREM2 IL10RA SESN2 TLR2 SLC2A5 HCLS1 ADA PIM3 ETV5 CREBBP HCK ARAP1 ESRRB FGD3 SLAMF8 NEB RCOR1 BMF POLE MAFF"
0.000745669558853751,18,1392,"Immune effector process ","SLC11A1 POU2F2 LAT2 HLX C1QB ADA WAS JAK3 SLAMF8 RNASET2 HCK C5AR2 TLR2 SLC2A5 LAIR1 RNASE3 C5AR1 LILRB3"
0.000745669558853751,17,1255,"Positive regulation of transcription by RNA polymerase II ","ASCL2 WAS VENTX RUNX1 SERPINF2 ETV4 MAFF SLC11A1 POU2F2 HCLS1 MAFB SESN2 ETV5 ESRRB TLR2 MLIP CREBBP"
0.000968894387584952,14,903,"Regulation of response to external stimulus ","TLR2 PLA2G7 SERPINF2 TREM2 CXCR4 AOAH IL17RA ADA C5AR1 C5AR2 SIGLEC10 SLAMF8 HCK C1QB"
0.000968894387584952,2,2,"Complement component C5a signaling pathway ","C5AR1 C5AR2"
0.000968894387584952,37,4671,"Cellular developmental process ","MYBPC2 HCK JAK3 CXCR4 PARVG ST14 SLA RUNX1 ETV4 NEB ASCL2 MAFF ETV5 MYO7A TREM2 SERPINF2 MAFB LILRB3 POU2F2 JADE2 PABPC1L CHAC1 HLX TLR2 OSGIN1 RBM47 GPR4 HCLS1 ADA C5AR1 SCIN FERMT3 ARAP1 ESRRB FGD3 SLAMF8 CREBBP"
0.0010319293373585,6,136,"Regulation of gliogenesis ","TREM2 TLR2 ASCL2 C5AR1 ETV5 CXCR4"
0.0010319293373585,11,565,"Leukocyte differentiation ","JAK3 TREM2 LILRB3 POU2F2 HLX HCLS1 ADA MAFB RUNX1 TLR2 SLAMF8"
0.00109391617849243,15,1054,"Response to external biotic stimulus ","SLC11A1 STAB1 TLR2 RNASE3 TREM2 IL10RA IRAK2 CCDC88B KLHL6 IL17RA C5AR1 CCR5 SLAMF8 HCK CXCR4"
0.00109391617849243,15,1052,"Response to other organism ","SLC11A1 STAB1 TLR2 RNASE3 TREM2 IL10RA IRAK2 CCDC88B KLHL6 IL17RA C5AR1 CCR5 SLAMF8 HCK CXCR4"
0.00111468979728053,25,2561,"Response to external stimulus ","SLC11A1 CXCR4 SESN2 CCR5 TLR2 STAB1 PLA2G7 SERPINF2 RNASE3 TREM2 IL10RA IRAK2 SLC38A2 C5AR2 AOAH CCDC88B KLHL6 IL17RA ADA C5AR1 SIGLEC10 SLAMF8 GIPR HCK C1QB"
0.00134828567616283,8,301,"Regulation of leukocyte differentiation ","LILRB3 HLX HCLS1 ADA MAFB RUNX1 JAK3 SLAMF8"
0.00134828567616283,15,1085,"Response to biotic stimulus ","SLC11A1 STAB1 TLR2 RNASE3 TREM2 IL10RA IRAK2 CCDC88B KLHL6 IL17RA C5AR1 CCR5 SLAMF8 HCK CXCR4"
0.00134828567616283,10,491,"Leukocyte migration ","PLA2G7 TREM2 IL17RA ADA C5AR1 C5AR2 SLAMF8 HCK CXCR4 CCR5"
0.00142404976688101,12,718,"Response to bacterium ","SLC11A1 STAB1 TLR2 RNASE3 TREM2 IL10RA IRAK2 KLHL6 C5AR1 CCR5 SLAMF8 HCK"
0.00144988492734881,14,968,"Regulation of defense response ","TLR2 TREM2 IRAK2 AOAH IL17RA ADA C5AR1 SIGLEC10 SLAMF8 CREBBP HCK C5AR2 PLA2G7 C1QB"
0.00151782175448486,35,4459,"Cell differentiation ","MYBPC2 HCK JAK3 CXCR4 PARVG ST14 SLA RUNX1 ETV4 NEB ASCL2 MAFF ETV5 MYO7A TREM2 SERPINF2 MAFB LILRB3 POU2F2 JADE2 PABPC1L CHAC1 HLX TLR2 OSGIN1 RBM47 GPR4 HCLS1 ADA C5AR1 SCIN FERMT3 ESRRB SLAMF8 CREBBP"
0.00151928523180131,8,312,"Humoral immune response ","RNASE3 C1QB SLC11A1 POU2F2 TREM2 EBI3 C5AR2 C5AR1"
0.00151928523180131,14,980,"Hemopoiesis ","JAK3 RUNX1 TREM2 MAFB LILRB3 POU2F2 HLX RBM47 HCLS1 ADA SCIN TLR2 SLAMF8 CREBBP"
0.00151978395893388,4,48,"T-helper 1 type immune response ","SLC11A1 HLX JAK3 EBI3"
0.00160539277796952,2,3,"Negative regulation of neutrophil migration ","C5AR2 SLAMF8"
0.00160539277796952,14,991,"Positive regulation of immune response ","C5AR2 TLR2 C5AR1 LAT2 SLC11A1 IRAK2 HLX KLHL6 C1QB ADA CREBBP WAS HCK RUNX1"
0.00165079504054878,29,3382,"Regulation of multicellular organismal process ","ASCL2 MAFF TLR2 SERPINF2 IL17RA MAFB LILRB3 SLC11A1 JADE2 TREM2 CXCR4 HLX CCDC88B GPR4 HCLS1 ADA C5AR1 ETV5 SCIN STAB1 C5AR2 RUNX1 JAK3 ESRRB MLIP SLAMF8 CREBBP EBI3 MYBPH"
0.00174501037472127,4,51,"Negative regulation of leukocyte apoptotic process ","CCR5 ADA HCLS1 JAK3"
0.00181551787629054,10,528,"Regulation of hemopoiesis ","MAFB LILRB3 HLX HCLS1 ADA SCIN RUNX1 JAK3 SLAMF8 CREBBP"
0.0018443913063933,9,426,"Actin filament organization ","WAS MYBPC2 PSTPIP2 NEB SERPINF2 SCIN HCLS1 ARAP1 HCK"
0.00184736490886884,19,1737,"Regulation of response to stress ","TLR2 WAS SERPINF2 TREM2 CXCR4 SESN2 IRAK2 AOAH IL17RA ADA C5AR1 SIGLEC10 MLIP SLAMF8 CREBBP HCK C5AR2 PLA2G7 C1QB"
0.00184736490886884,14,1023,"Exocytosis ","LAT2 SLC17A9 HCK SCIN SLC11A1 RNASET2 TLR2 SLC2A5 FERMT3 LAIR1 SERPINF2 RNASE3 C5AR1 LILRB3"
0.00184736490886884,12,763,"Activation of immune response ","C5AR2 TLR2 C5AR1 LAT2 IRAK2 KLHL6 C1QB ADA CREBBP WAS HCK RUNX1"
0.00184736490886884,14,1021,"Hematopoietic or lymphoid organ development ","JAK3 RUNX1 TREM2 MAFB LILRB3 POU2F2 HLX RBM47 HCLS1 ADA SCIN TLR2 SLAMF8 CREBBP"
0.00186905630144102,3,20,"Negative regulation of CD4-positive, alpha-beta T cell differentiation ","HLX JAK3 RUNX1"
0.00186905630144102,13,901,"Regulated exocytosis ","LAT2 SCIN SLC11A1 RNASET2 HCK TLR2 SLC2A5 FERMT3 LAIR1 SERPINF2 RNASE3 C5AR1 LILRB3"
0.00186905630144102,18,1599,"Positive regulation of transcription, DNA-templated ","ASCL2 CREBBP WAS VENTX RUNX1 SERPINF2 ETV4 MAFF SLC11A1 POU2F2 PABPC1L HCLS1 MAFB ETV5 SESN2 ESRRB TLR2 MLIP"
0.00186905630144102,12,775,"Lymphocyte activation ","JAK3 ADA LAT2 WAS SLC11A1 POU2F2 EBI3 HLX CCDC88B MAFB SLAMF8 RUNX1"
0.00191589502158237,12,779,"Actin filament-based process ","WAS MYBPC2 PARVG PSTPIP2 NEB HCLS1 HCK MYO7A SERPINF2 SCIN ARAP1 FGD3"
0.00195941124414545,11,662,"Immune response-activating signal transduction ","C5AR2 TLR2 C5AR1 LAT2 IRAK2 KLHL6 ADA CREBBP WAS HCK RUNX1"
0.00200774248013661,7,255,"Leukocyte chemotaxis ","PLA2G7 IL17RA C5AR1 C5AR2 SLAMF8 CXCR4 CCR5"
0.00200774248013661,25,2763,"Regulation of developmental process ","ASCL2 MAFF SERPINF2 MAFB LILRB3 JADE2 TREM2 CXCR4 HLX TLR2 GPR4 HCLS1 ADA C5AR1 ETV5 SCIN STAB1 HCK RUNX1 ARAP1 JAK3 ESRRB FGD3 SLAMF8 CREBBP"
0.00220396047323941,5,112,"Negative regulation of leukocyte differentiation ","LILRB3 HLX MAFB JAK3 RUNX1"
0.00228083974407783,20,1954,"Regulation of cell differentiation ","ASCL2 MAFF SERPINF2 MAFB LILRB3 JADE2 TREM2 CXCR4 HLX TLR2 HCLS1 ADA C5AR1 ETV5 SCIN RUNX1 JAK3 ESRRB SLAMF8 CREBBP"
0.00229437846305873,9,457,"Myeloid cell differentiation ","JAK3 MAFB LILRB3 HCLS1 SCIN TREM2 RUNX1 TLR2 CREBBP"
0.00229437846305873,5,114,"Regulation of alpha-beta T cell activation ","HLX ADA JAK3 RUNX1 EBI3"
0.00238375910432682,11,687,"Actin cytoskeleton organization ","WAS MYBPC2 PARVG PSTPIP2 NEB HCLS1 HCK SERPINF2 SCIN ARAP1 FGD3"
0.00238375910432682,14,1074,"Immune system development ","JAK3 RUNX1 TREM2 MAFB LILRB3 POU2F2 HLX RBM47 HCLS1 ADA SCIN TLR2 SLAMF8 CREBBP"
0.00241876015312126,12,819,"Cell activation involved in immune response ","SLC11A1 LAT2 HLX ADA JAK3 RNASET2 TLR2 SLC2A5 LAIR1 RNASE3 C5AR1 LILRB3"
0.00241876015312126,12,815,"Leukocyte activation involved in immune response ","SLC11A1 LAT2 HLX ADA JAK3 RNASET2 TLR2 SLC2A5 LAIR1 RNASE3 C5AR1 LILRB3"
0.00241876015312126,9,466,"Immune response-activating cell surface receptor signaling pathway ","C5AR2 C5AR1 LAT2 KLHL6 ADA CREBBP WAS HCK RUNX1"
0.00241876015312126,4,62,"Regulation of alpha-beta T cell differentiation ","HLX ADA JAK3 RUNX1"
0.00241876015312126,3,24,"Negative regulation of alpha-beta T cell differentiation ","HLX JAK3 RUNX1"
0.00244275591931509,8,366,"Response to lipopolysaccharide ","SLC11A1 TREM2 IL10RA IRAK2 TLR2 C5AR1 CCR5 HCK"
0.00265425534723716,3,25,"Dendritic cell chemotaxis ","SLAMF8 CXCR4 CCR5"
0.00273472126799533,11,712,"Supramolecular fiber organization ","WAS MYBPC2 PSTPIP2 CCDC88B NEB SERPINF2 SCIN HCLS1 COLGALT1 ARAP1 HCK"
0.00273472126799533,18,1695,"Positive regulation of RNA biosynthetic process ","ASCL2 CREBBP WAS VENTX RUNX1 SERPINF2 ETV4 MAFF SLC11A1 POU2F2 PABPC1L HCLS1 MAFB ETV5 SESN2 ESRRB TLR2 MLIP"
0.00273472126799533,18,1694,"Positive regulation of nucleic acid-templated transcription ","ASCL2 CREBBP WAS VENTX RUNX1 SERPINF2 ETV4 MAFF SLC11A1 POU2F2 PABPC1L HCLS1 MAFB ETV5 SESN2 ESRRB TLR2 MLIP"
0.00273472126799533,13,965,"Leukocyte mediated immunity ","SLC11A1 POU2F2 LAT2 C1QB WAS JAK3 RNASET2 TLR2 SLC2A5 LAIR1 RNASE3 C5AR1 LILRB3"
0.00274674376955768,11,716,"Response to wounding ","FERMT3 SERPINF2 GIPR SLC11A1 CXCR4 F2RL3 GPR4 SIGLEC10 WAS RCOR1 MAFF"
0.00274674376955768,3,26,"Mature B cell differentiation ","POU2F2 ADA SLAMF8"
0.00274674376955768,4,67,"Positive regulation of alpha-beta T cell activation ","HLX ADA RUNX1 EBI3"
0.00274674376955768,11,714,"Immune response-regulating signaling pathway ","C5AR2 TLR2 C5AR1 LAT2 IRAK2 KLHL6 ADA CREBBP WAS HCK RUNX1"
0.0029645496311313,12,852,"Regulation of cytokine production ","TLR2 SERPINF2 IL17RA SLC11A1 TREM2 CCDC88B C5AR1 C5AR2 RUNX1 JAK3 CREBBP EBI3"
0.0029645496311313,8,385,"Response to molecule of bacterial origin ","SLC11A1 TLR2 TREM2 IL10RA IRAK2 C5AR1 CCR5 HCK"
0.00321146673672741,14,1133,"Positive regulation of intracellular signal transduction ","F2RL3 GPR4 TREM2 IL10RA TLR2 SERPINF2 C5AR1 GIPR C5AR2 HCLS1 ADA BMF CXCR4 IRAK2"
0.00344154543499235,15,1286,"Negative regulation of multicellular organismal process ","SERPINF2 MAFB LILRB3 SLC11A1 HLX GPR4 ASCL2 ADA STAB1 C5AR2 JAK3 TLR2 MLIP SLAMF8 RUNX1"
0.00345567040047495,3,29,"Dendritic cell migration ","SLAMF8 CXCR4 CCR5"
0.00345567040047495,3,29,"Regulation of T-helper 1 type immune response ","SLC11A1 HLX JAK3"
0.00359429319737617,9,508,"Cellular divalent inorganic cation homeostasis ","SLC11A1 CXCR4 F2RL3 C5AR2 CCR5 GPR4 C5AR1 MT1A GIPR"
0.00364347257332989,20,2082,"Positive regulation of cellular biosynthetic process ","ASCL2 CREBBP WAS VENTX RUNX1 SERPINF2 ETV4 MAFF SLC11A1 POU2F2 TREM2 PABPC1L ESRRB HCLS1 MAFB ETV5 SESN2 TLR2 MLIP EBI3"
0.00388127347037119,10,632,"Leukocyte degranulation ","LAT2 SLC11A1 RNASET2 HCK TLR2 SLC2A5 LAIR1 RNASE3 C5AR1 LILRB3"
0.00392395714696908,24,2785,"Anatomical structure morphogenesis ","MYBPC2 PARVG NEB MYO7A JADE2 TREM2 CXCR4 HLX TLR2 ST14 SERPINF2 KLHL6 GPR4 ADA C5AR1 MAFB ETV5 STAB1 HCK FERMT3 ARAP1 FGD3 RUNX1 CREBBP"
0.00407173137511958,9,520,"Immune response-regulating cell surface receptor signaling pathway ","C5AR2 C5AR1 LAT2 KLHL6 ADA CREBBP WAS HCK RUNX1"
0.00418948427206247,20,2113,"Positive regulation of biosynthetic process ","ASCL2 CREBBP WAS VENTX RUNX1 SERPINF2 ETV4 MAFF SLC11A1 POU2F2 TREM2 PABPC1L ESRRB HCLS1 MAFB ETV5 SESN2 TLR2 MLIP EBI3"
0.00418948427206247,3,32,"Regulation of antigen processing and presentation ","TREM2 SLC11A1 WAS"
0.00418948427206247,4,78,"Regulation of glial cell differentiation ","TREM2 TLR2 C5AR1 CXCR4"
0.00418948427206247,18,1789,"Positive regulation of RNA metabolic process ","ASCL2 CREBBP WAS VENTX RUNX1 SERPINF2 ETV4 MAFF SLC11A1 POU2F2 PABPC1L HCLS1 MAFB ETV5 SESN2 ESRRB TLR2 MLIP"
0.00420373108119405,7,315,"Positive regulation of cell-cell adhesion ","JAK3 HLX CCDC88B ADA RUNX1 EBI3 SERPINF2"
0.00420373108119405,6,223,"Regulation of leukocyte migration ","PLA2G7 TREM2 ADA C5AR1 C5AR2 SLAMF8"
0.00420373108119405,5,144,"Regulation of protein processing ","SERPINF2 CHAC1 C5AR2 C1QB C5AR1"
0.00420373108119405,9,528,"Divalent inorganic cation homeostasis ","SLC11A1 CXCR4 F2RL3 C5AR2 CCR5 GPR4 C5AR1 MT1A GIPR"
0.00421452371692948,3,33,"Regulation of neutrophil migration ","C5AR1 C5AR2 SLAMF8"
0.00421452371692948,5,146,"Regulation of protein maturation ","SERPINF2 CHAC1 C5AR2 C1QB C5AR1"
0.00421452371692948,20,2138,"Regulation of multicellular organismal development ","ASCL2 MAFF MAFB LILRB3 JADE2 TREM2 CXCR4 HLX TLR2 GPR4 HCLS1 ADA C5AR1 ETV5 SCIN STAB1 RUNX1 JAK3 SLAMF8 CREBBP"
0.00421452371692948,2,7,"Fusion of virus membrane with host plasma membrane ","CXCR4 CCR5"
0.00421452371692948,2,7,"Membrane fusion involved in viral entry into host cell ","CXCR4 CCR5"
0.00421452371692948,9,534,"T cell activation ","JAK3 ADA WAS SLC11A1 EBI3 HLX CCDC88B MAFB RUNX1"
0.00421452371692948,2,7,"Multi-organism membrane fusion ","CXCR4 CCR5"
0.00421452371692948,6,225,"Regulation of chemotaxis ","PLA2G7 TREM2 CXCR4 C5AR1 C5AR2 SLAMF8"
0.00427391143024561,7,321,"Positive regulation of cytosolic calcium ion concentration ","CXCR4 F2RL3 C5AR2 CCR5 GPR4 C5AR1 GIPR"
0.00429988360102529,19,1978,"Positive regulation of macromolecule biosynthetic process ","ASCL2 CREBBP WAS VENTX RUNX1 SERPINF2 ETV4 MAFF SLC11A1 POU2F2 PABPC1L ESRRB HCLS1 MAFB ETV5 SESN2 TLR2 MLIP EBI3"
0.00431355683278275,3,34,"Respiratory burst ","SLC11A1 SLAMF8 HCK"
0.00448131577263467,29,3779,"Animal organ development ","MYBPC2 JAK3 CXCR4 ST14 RUNX1 NEB ASCL2 MYO7A TREM2 MAFB LILRB3 GIPR POU2F2 SLC38A2 HLX RBM47 C1QB POLE GPR4 HCLS1 MAFF ADA C5AR1 ETV5 SCIN ESRRB TLR2 SLAMF8 CREBBP"
0.0045103741266706,12,925,"Cytokine production ","TLR2 SERPINF2 IL17RA SLC11A1 TREM2 CCDC88B C5AR1 C5AR2 RUNX1 JAK3 CREBBP EBI3"
0.00452791522054977,6,233,"Myeloid leukocyte differentiation ","LILRB3 HCLS1 MAFB TREM2 RUNX1 TLR2"
0.00452791522054977,19,1993,"Positive regulation of nucleobase-containing compound metabolic process ","ASCL2 CREBBP WAS VENTX RUNX1 SERPINF2 ETV4 MAFF SLC11A1 POU2F2 TREM2 PABPC1L ESRRB HCLS1 MAFB ETV5 SESN2 TLR2 MLIP"
0.00479020740272284,19,2004,"Homeostatic process ","SLC11A1 JAK3 CXCR4 F2RL3 C5AR2 CCR5 GPR4 C5AR1 MT1A MAFB GIPR SESN2 HCLS1 ADA PIM3 ESRRB SLAMF8 CREBBP POLE"
0.00484239697329388,3,36,"Negative regulation of CD4-positive, alpha-beta T cell activation ","HLX JAK3 RUNX1"
0.00504906769592591,10,679,"Cellular cation homeostasis ","SLC11A1 CXCR4 F2RL3 C5AR2 CCR5 GPR4 C5AR1 MT1A GIPR SLAMF8"
0.00504906769592591,2,8,"Positive regulation of granulocyte differentiation ","HCLS1 RUNX1"
0.00504906769592591,2,8,"Negative regulation of thymocyte apoptotic process ","ADA JAK3"
0.00508970573777785,6,241,"Myeloid leukocyte migration ","PLA2G7 TREM2 IL17RA C5AR1 C5AR2 SLAMF8"
0.00508970573777785,4,88,"Positive regulation of gliogenesis ","TREM2 TLR2 ETV5 CXCR4"
0.00517543892518108,16,1541,"Cell adhesion ","FERMT3 JAK3 PARVG CXCR4 ADA STAB1 MYBPC2 MYBPH HLX SIGLEC10 CCDC88B MPZ RUNX1 HCK EBI3 SERPINF2"
0.00517543892518108,7,339,"Cell chemotaxis ","CXCR4 CCR5 PLA2G7 IL17RA C5AR1 C5AR2 SLAMF8"
0.00524067583552198,5,159,"Alpha-beta T cell activation ","HLX ADA JAK3 RUNX1 EBI3"
0.00530987935767249,4,90,"Regulation of leukocyte apoptotic process ","CCR5 ADA HCLS1 JAK3"
0.00530987935767249,16,1548,"Biological adhesion ","FERMT3 JAK3 PARVG CXCR4 ADA STAB1 MYBPC2 MYBPH HLX SIGLEC10 CCDC88B MPZ RUNX1 HCK EBI3 SERPINF2"
0.00553247492522546,10,693,"Cellular ion homeostasis ","SLC11A1 CXCR4 F2RL3 C5AR2 CCR5 GPR4 C5AR1 MT1A GIPR SLAMF8"
0.00583819149180229,5,164,"Negative regulation of hemopoiesis ","MAFB LILRB3 HLX JAK3 RUNX1"
0.00588613217895892,3,40,"Regulation of macrophage migration ","TREM2 C5AR1 SLAMF8"
0.00588613217895892,2,9,"Positive regulation of antigen processing and presentation ","TREM2 SLC11A1"
0.00588932291746044,19,2060,"Positive regulation of gene expression ","ASCL2 CREBBP WAS VENTX RUNX1 SERPINF2 ETV4 MAFF SLC11A1 POU2F2 TREM2 PABPC1L HCLS1 MAFB ETV5 SESN2 TLR2 ESRRB MLIP"
0.00600641850722005,6,253,"Positive regulation of T cell activation ","JAK3 HLX CCDC88B ADA RUNX1 EBI3"
0.00618482627003038,3,41,"Negative regulation of T cell differentiation ","HLX JAK3 RUNX1"
0.00633622363867986,7,357,"Regulation of actin cytoskeleton organization ","WAS HCLS1 HCK SERPINF2 SCIN ARAP1 NEB"
0.00633622363867986,9,585,"Wound healing ","FERMT3 SERPINF2 SLC11A1 CXCR4 F2RL3 GPR4 WAS RCOR1 MAFF"
0.00633622363867986,18,1911,"Positive regulation of multicellular organismal process ","TLR2 SERPINF2 IL17RA SLC11A1 JADE2 TREM2 CXCR4 HLX CCDC88B HCLS1 ADA C5AR1 ETV5 SCIN RUNX1 ESRRB CREBBP EBI3"
0.0063826247173198,11,846,"Cellular chemical homeostasis ","SLC11A1 CXCR4 F2RL3 C5AR2 CCR5 GPR4 C5AR1 MT1A GIPR PIM3 SLAMF8"
0.00649662434095667,17,1762,"Positive regulation of signal transduction ","F2RL3 GPR4 TREM2 IL10RA TLR2 SERPINF2 C5AR1 GIPR C5AR2 SLA HCLS1 ADA CREBBP BMF CXCR4 IRAK2 ARAP1"
0.00649662434095667,8,471,"Regulation of cell-cell adhesion ","JAK3 FERMT3 ADA HLX CCDC88B RUNX1 EBI3 SERPINF2"
0.00649662434095667,2,10,"Alanine transport ","SLC36A1 SLC38A2"
0.00649662434095667,2,10,"Multi-organism membrane organization ","CXCR4 CCR5"
0.00649662434095667,2,10,"Regulation of T-helper 1 cell differentiation ","HLX JAK3"
0.00649662434095667,9,592,"Regulation of leukocyte activation ","JAK3 TREM2 HLX CCDC88B ADA C5AR1 SLAMF8 RUNX1 EBI3"
0.00649662434095667,7,360,"Regulation of cytosolic calcium ion concentration ","CXCR4 F2RL3 C5AR2 CCR5 GPR4 C5AR1 GIPR"
0.00649662434095667,2,10,"Response to lipoteichoic acid ","TLR2 TREM2"
0.00649662434095667,2,10,"Cellular response to lipoteichoic acid ","TLR2 TREM2"
0.00662310255133714,9,596,"Positive regulation of cytokine production ","TLR2 SERPINF2 IL17RA SLC11A1 CCDC88B C5AR1 RUNX1 CREBBP EBI3"
0.00664618460535608,9,597,"Cellular metal ion homeostasis ","SLC11A1 CXCR4 F2RL3 C5AR2 CCR5 GPR4 C5AR1 MT1A GIPR"
0.00664618460535608,4,100,"Actin cytoskeleton reorganization ","PARVG HCLS1 HCK ARAP1"
0.00675894399257825,4,101,"Phospholipase C-activating G protein-coupled receptor signaling pathway ","F2RL3 C5AR2 GPR4 C5AR1"
0.00675894399257825,7,368,"Lymphocyte differentiation ","JAK3 POU2F2 HLX ADA MAFB SLAMF8 RUNX1"
0.00675894399257825,4,101,"Alpha-beta T cell differentiation ","HLX ADA JAK3 RUNX1"
0.00685614658100858,5,177,"Regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains ","SLC11A1 HLX ADA WAS JAK3"
0.00698490318823402,5,178,"Regulation of lymphocyte differentiation ","HLX ADA JAK3 SLAMF8 RUNX1"
0.00704938040948802,7,372,"Regulation of supramolecular fiber organization ","WAS SERPINF2 SCIN COLGALT1 HCLS1 ARAP1 HCK"
0.00713808290079513,6,272,"Positive regulation of leukocyte cell-cell adhesion ","JAK3 HLX CCDC88B ADA RUNX1 EBI3"
