"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
3.42639012770483e-10,113,2602,"Immune response ","CD86 CXCR4 SASH3 CD180 C5AR2 TNFRSF14 FCER1G CCR5 SH2B2 SYK TLR6 FES TLR7 C5AR1 MICB GRN CYBA CD84 LAT2 GNLY HAVCR2 NOD2 LGALS9 RNASE3 RELA SPN LILRA2 FGR TYROBP WAS SLC11A1 TNFRSF1B POU2F2 BCL3 STXBP2 NFKB2 IRAK3 HCK ELF4 TNFSF13B RELB JAK3 TCIRG1 LTBR PTPN6 KDM6B GPS2 IRAK2 HLX CMTM3 ARRB2 VAV1 SIGLEC10 VSIG4 BATF C1QC TNFAIP8L2 LAIR1 TNIP2 INPP5D PTAFR KLHL6 C1QB C1QA PTPN2 IFNLR1 CARD9 ADA ARID5A CARD11 LST1 LILRB3 NFAM1 ORAI1 NFATC2 VAMP8 HSPA1A SLAMF8 GPSM3 CREBBP PLAUR RNASET2 TREM2 NCF4 EBI3 TSPAN14 LRMP ARHGAP9 SIGLEC9 ARPC1B RFX1 CHI3L1 GPR65 SLC2A5 DOK3 IL2RG NCF1 CDA IFNGR2 RUNX1 SIGLEC7 RNASE2 AGPAT2 CEBPB IL16 HSPA6 ARHGAP45 MUC6 DGAT1 SERPINA1 CPNE1 IFI30 SIGLEC14"
3.42639012770483e-10,128,3113,"Intracellular signal transduction ","LGALS9 MAP2K3 FLT4 DGKA IRAK3 MKNK2 NFATC2 RELB JAK3 LTBR CXCR4 GDF15 SESN2 IRAK2 GPR65 PIK3R5 PKN3 CCR5 SH2B2 RPS6KA4 NOD2 MLKL BCL2L1 RELA GPR4 CHEK2 ARHGAP30 SPRY4 TLR7 TEAD4 CPNE1 ADRA2B FZD7 MSX1 BCL3 GMIP TREM2 IL10RA PTPN6 PLVAP GPS2 ARRB2 EPHA2 BCL2L11 SCIMP SERPINF2 TNIP2 PTAFR TLR6 AEN CARD9 EIF4EBP1 S100A4 C5AR1 DENND4B HSPA1A NFAM1 P2RY11 E2F2 GIPR TNFRSF1B NFKB2 SIPA1L3 DOK1 RPS6KA1 MCF2L FGD3 CHRNA10 DOCK6 CHI3L1 C5AR2 HAVCR2 PRDM15 VAV1 ADCY10 DOK3 BATF SYK INPP5D PPM1D CEBPB HAP1 PTPN2 NUPR1 HCLS1 ARHGAP45 NPY2R STK40 ADA CARD11 ITSN2 SIPA1 SHANK3 TNFRSF10B LAT2 FGR PTBP1 PLAUR WAS RIPOR1 HDAC7 SH3BP1 RASAL3 NOP2 CHAC1 MAPKBP1 RCN3 NCF1 AXIN1 DEDD2 MLXIPL TYROBP ARHGAP4 BMF CD86 ARID3A ARHGAP9 TRIP10 SPTBN5 IL2RG RGS19 BANP SIAH2 IL3RA IRS2 ARAP1 E2F4 SRGAP2"
8.59630117098849e-10,57,925,"Cytokine production ","IRAK3 NFATC2 TNFRSF14 TLR7 GPSM3 CYBA HDAC7 CD84 HAVCR2 FURIN NOD2 SERPINF2 LGALS9 IL17RA CLECL1 SPN LILRA2 FGR TYROBP SLC11A1 TNFRSF1B MAP2K3 BCL3 TREM2 TCIRG1 PTPN6 SASH3 CHI3L1 ARRB2 EPHA2 VSIG4 BATF FCER1G SYK CCDC88B INPP5D PTAFR CEBPB RELA TLR6 CARD9 C5AR1 CARD11 NFAM1 FLT4 RELB C5AR2 MAPKBP1 RUNX1 AGPAT2 HSPA1A JAK3 CD86 CREBBP NFKB2 EBI3 RPS6KA4"
1.31415143102972e-09,70,1301,"Positive regulation of immune system process ","JAK3 CD86 SASH3 C5AR2 TNFRSF14 FCER1G SH2B2 SYK TLR6 FES TLR7 C5AR1 MICB GPSM3 CYBA CD84 LAT2 TREM2 PLA2G7 NOD2 LGALS9 RELA CLECL1 CARD11 LILRA2 FGR TYROBP SLC11A1 IRAK3 TNFSF13B PTPN6 ZBTB46 GPS2 IRAK2 HAVCR2 HLX CMTM3 ARRB2 VAV1 VSIG4 C1QC CCDC88B TNIP2 INPP5D PTAFR KLHL6 C1QB C1QA PTPN2 HCLS1 IRS2 CARD9 ADA NFAM1 CEBPA NFATC2 RASAL3 VAMP8 PLVAP RUNX1 HSPA1A STXBP2 SPN CREBBP WAS HCK RELB EBI3 ARPC1B MUC6"
1.85936072256186e-09,52,815,"Leukocyte activation involved in immune response ","CD180 FCER1G SYK FES CD84 HAVCR2 LGALS9 SPN LILRA2 FGR TYROBP SLC11A1 BCL3 LAT2 RELB HLX BATF PTAFR ADA STXBP2 VAMP8 GRN JAK3 CD86 PLAUR RNASET2 TNFRSF1B CYBA TSPAN14 TCIRG1 PTPN6 LRMP ARHGAP9 SIGLEC9 CHI3L1 SLC2A5 DOK3 CDA LAIR1 RNASE2 RNASE3 AGPAT2 HSPA6 ARHGAP45 DGAT1 SERPINA1 C5AR1 HSPA1A LILRB3 CPNE1 NFAM1 SIGLEC14"
1.85936072256186e-09,42,565,"Leukocyte differentiation ","JAK3 LTBR FCER1G SYK TREM2 C1QC LGALS9 SPN LILRB3 TYROBP POU2F2 SPI1 BCL3 JMJD6 RELB TCIRG1 PTPN6 SASH3 BATF3 ZBTB46 GPS2 HLX VAV1 EPHA2 CMTM7 FZD7 BATF INPP5D CEBPB PTPN2 HCLS1 FZD9 ADA CARD11 MAFB NFAM1 CEBPA RUNX1 FES SLAMF8 CD86 NFATC2"
2.09859333322584e-09,52,819,"Cell activation involved in immune response ","CD180 FCER1G SYK FES CD84 HAVCR2 LGALS9 SPN LILRA2 FGR TYROBP SLC11A1 BCL3 LAT2 RELB HLX BATF PTAFR ADA STXBP2 VAMP8 GRN JAK3 CD86 PLAUR RNASET2 TNFRSF1B CYBA TSPAN14 TCIRG1 PTPN6 LRMP ARHGAP9 SIGLEC9 CHI3L1 SLC2A5 DOK3 CDA LAIR1 RNASE2 RNASE3 AGPAT2 HSPA6 ARHGAP45 DGAT1 SERPINA1 C5AR1 HSPA1A LILRB3 CPNE1 NFAM1 SIGLEC14"
3.08473727379345e-09,34,394,"Positive regulation of cell activation ","JAK3 CD86 SASH3 SYK TNFRSF14 NOD2 LGALS9 CLECL1 CARD11 LILRA2 FGR TYROBP TREM2 TNFSF13B HAVCR2 HLX FCER1G CCDC88B TNIP2 INPP5D PTAFR C1QA IRS2 ADA CEBPA NFATC2 RASAL3 RPS6KA1 VAMP8 RUNX1 TLR6 EBI3 PTPN6 VAV1"
7.99714578304404e-09,52,852,"Regulation of cytokine production ","IRAK3 TNFRSF14 TLR7 GPSM3 CYBA HDAC7 CD84 HAVCR2 FURIN NOD2 SERPINF2 LGALS9 IL17RA SPN LILRA2 FGR TYROBP SLC11A1 TNFRSF1B MAP2K3 BCL3 TREM2 PTPN6 SASH3 ARRB2 EPHA2 VSIG4 FCER1G SYK CCDC88B INPP5D PTAFR CEBPB RELA TLR6 CARD9 C5AR1 CARD11 NFAM1 FLT4 RELB C5AR2 MAPKBP1 RUNX1 AGPAT2 HSPA1A JAK3 CD86 CREBBP NFKB2 EBI3 RPS6KA4"
8.31641902984935e-09,109,2621,"Positive regulation of response to stimulus ","LGALS9 MAP2K3 FLT4 LTBR SASH3 G0S2 GDF15 CD180 C5AR2 GPR65 PIK3R5 TNFRSF14 FCER1G SH2B2 SYK NOD2 MLKL TLR6 GPR4 TLR7 C5AR1 MICB GPSM3 CPNE1 FZD7 MSX1 AGPAT2 WAS CYBA LAT2 TREM2 IL10RA KLK14 ARRB2 PLA2G7 ANKLE1 SCIMP SERPINF2 TNIP2 RELA CARD9 S100A4 LILRA2 ADRA2B FGR GIPR SLC11A1 SSH1 ARHGAP4 IRAK3 TNFSF13B PTPN6 CXCR4 GPS2 CHI3L1 IRAK2 HAVCR2 HLX CMTM3 PRDM15 VAV1 VSIG4 SLA C1QC CREBRF PTAFR CEBPB IL16 KLHL6 C1QB C1QA HAP1 PTPN2 NUPR1 IL17RA HCLS1 NPY2R FZD9 ADA CARD11 ITSN2 NFAM1 CEBPA SHANK3 TNFRSF10B BCL2L11 CREBBP PTBP1 PLAUR NFATC2 TSPAN14 VAMP8 NCF1 DEDD2 HSPA1A GRN AXIN1 BMF CD86 HCK RELB DOK1 ARPC1B RUNX1 INPP5D BCL2L1 MUC6 IRS2 ARAP1"
8.57208236241282e-09,56,965,"Leukocyte mediated immunity ","FCER1G SYK FES MICB CD84 LGALS9 FGR SLC11A1 TNFRSF1B POU2F2 BCL3 LAT2 TCIRG1 PTPN6 SASH3 HAVCR2 VAV1 BATF C1QC NOD2 INPP5D PTAFR C1QB C1QA STXBP2 WAS VAMP8 ARRB2 JAK3 PLAUR TYROBP RNASET2 GRN CYBA TSPAN14 LRMP ARHGAP9 SIGLEC9 CHI3L1 SLC2A5 DOK3 CDA LAIR1 RNASE2 RNASE3 AGPAT2 HSPA6 ARHGAP45 DGAT1 SERPINA1 C5AR1 HSPA1A LILRB3 CPNE1 NFAM1 SIGLEC14"
9.30694346765194e-09,92,2062,"Defense response ","RELB C5AR2 TNFRSF14 FCER1G CCR5 TNFAIP8L2 NOD2 RELA TLR6 TLR7 C5AR1 MICB GPSM3 STAB1 GRN CYBA GNLY LGALS9 RNASE2 RNASE3 IFNLR1 SPN LILRA2 FGR TYROBP WAS SLC11A1 TNFRSF1B MAP2K3 CD84 BCL3 STXBP2 IRAK3 TREM2 HCK ELF4 JAK3 TCIRG1 PTPN6 KDM6B GPS2 CHI3L1 CD180 IRAK2 HAVCR2 AOAH ARRB2 VAV1 SIGLEC10 EPHA2 VSIG4 BATF IFNGR2 C1QC RPS6KA4 SYK SERPINF2 CCDC88B TNIP2 PTAFR CEBPB C1QB C1QA PTPN2 NUPR1 CD163 IL17RA NPY2R CARD9 ADA ARID5A SERPINA1 CEBPA SHANK3 PROC VAMP8 MAPKBP1 HSPA1A SLAMF8 NFAM1 CREBBP TMIGD3 CXCR4 PLA2G7 NCF1 MUC6 CARD11 LILRB3 IFI30 P2RY11 SIGLEC14 ADORA3"
1.1654356174969e-08,39,534,"T cell activation ","JAK3 CD86 TNFRSF14 FCER1G TNFAIP8L2 SYK ADA HAVCR2 LGALS9 CLECL1 SPN CARD11 MICB WAS SLC11A1 TNFRSF1B BCL3 JMJD6 ELF4 TNFSF13B RELB EBI3 TCIRG1 PTPN6 SASH3 HLX VAV1 GNRH1 VSIG4 FZD7 BATF CCDC88B CEBPB PTPN2 MAFB RASAL3 RUNX1 NOD2 NFATC2"
1.1654356174969e-08,32,374,"Positive regulation of leukocyte activation ","JAK3 CD86 SASH3 SYK TNFRSF14 NOD2 LGALS9 CLECL1 CARD11 FGR TYROBP TREM2 TNFSF13B HAVCR2 HLX FCER1G CCDC88B TNIP2 INPP5D PTAFR C1QA IRS2 ADA CEBPA NFATC2 RASAL3 VAMP8 RUNX1 TLR6 EBI3 PTPN6 VAV1"
1.67059000725451e-08,43,640,"Myeloid cell activation involved in immune response ","FCER1G SYK FES CD84 LILRA2 FGR TYROBP LAT2 HAVCR2 PTAFR STXBP2 VAMP8 LGALS9 GRN PLAUR SLC11A1 RNASET2 TNFRSF1B CYBA TSPAN14 TCIRG1 PTPN6 LRMP ARHGAP9 SIGLEC9 CHI3L1 SLC2A5 DOK3 CDA LAIR1 RNASE2 RNASE3 AGPAT2 HSPA6 ARHGAP45 DGAT1 SERPINA1 C5AR1 HSPA1A LILRB3 CPNE1 NFAM1 SIGLEC14"
3.72169404357299e-08,42,632,"Leukocyte degranulation ","SYK FES CD84 FGR LAT2 FCER1G PTAFR STXBP2 VAMP8 LGALS9 PLAUR TYROBP SLC11A1 RNASET2 TNFRSF1B GRN CYBA HCK TSPAN14 TCIRG1 PTPN6 LRMP ARHGAP9 SIGLEC9 CHI3L1 SLC2A5 DOK3 CDA LAIR1 RNASE2 RNASE3 AGPAT2 HSPA6 ARHGAP45 DGAT1 SERPINA1 C5AR1 HSPA1A LILRB3 CPNE1 NFAM1 SIGLEC14"
4.47249621727415e-08,25,249,"B cell activation ","JAK3 SASH3 CD180 SYK LAT2 NOD2 TYROBP POU2F2 BCL3 TNFSF13B TCIRG1 PTPN6 GPS2 CMTM7 BATF TNIP2 INPP5D PTPN2 IRS2 FZD9 ADA CARD11 NFAM1 NFATC2 SLAMF8"
5.01910329858669e-08,85,1909,"Regulation of immune system process ","JAK3 CD86 SASH3 C5AR2 TNFRSF14 FCER1G SH2B2 TNFAIP8L2 SYK TLR6 FES TLR7 C5AR1 MICB GPSM3 GRN CYBA CD84 LAT2 TREM2 HAVCR2 PLA2G7 C1QC NOD2 LGALS9 RELA CLECL1 IFNLR1 CARD11 MAFB LST1 LILRB3 LILRA2 FGR TYROBP SLC11A1 TNFRSF1B IRAK3 TNFSF13B PTPN6 ZBTB46 GPS2 IRAK2 HLX CMTM3 ARRB2 VAV1 GNRH1 VSIG4 CCDC88B TNIP2 INPP5D PTAFR CEBPB KLHL6 C1QB C1QA PTPN2 HCLS1 IRS2 CARD9 ADA SPN NFAM1 CEBPA WAS SPI1 NFATC2 RASAL3 VAMP8 PLVAP RUNX1 HSPA1A STXBP2 SLAMF8 CREBBP HCK RELB EBI3 SIGLEC9 ARPC1B IFNGR2 LAIR1 SIGLEC7 MUC6"
9.12821342835107e-08,157,4507,"Response to stress ","FERMT3 MAP2K3 RELB LTBR PROC SESN2 C5AR2 PARP16 TNFRSF14 FANCC FCER1G CCR5 TNFAIP8L2 SYK NOD2 MLKL MT1B BCL2L1 RELA HSPA6 TLR6 POLE CHEK2 ZBTB40 TLR7 C5AR1 HSPA1A MICB MT1A GPSM3 FZD7 MSX1 STAB1 WAS NPC1L1 GRN CYBA BCL3 GNLY KMO TNFRSF10B DNAJB1 GPS2 EPHA2 BCL2L11 NCF1 ANKLE1 SERPINF2 LGALS9 RNASE2 RNASE3 CEBPB AEN IFNLR1 CARD9 ADA SPN LILRA2 ETV5 FGR GIPR TYROBP SLC11A1 TNFRSF1B CD84 STXBP2 SIRT4 IRAK3 ANGPT2 TREM2 SLC52A3 HCK ELF4 JAK3 TCIRG1 WNT5B PTPN6 CXCR4 CHAC1 KDM6B CHI3L1 CD180 IRAK2 SLC38A2 HAVCR2 AOAH ARRB2 VAV1 SIGLEC10 RCN3 VSIG4 BATF IFNGR2 C1QC RPS6KA4 CREBRF CCDC88B TNIP2 PTAFR FOXA3 PPM1D C1QB C1QA NABP1 PTPN2 NUPR1 GPR4 CD163 IL17RA SSTR2 NPY2R EIF4EBP1 FZD9 ARID5A SERPINA1 SIPA1 CEBPA SHANK3 ADRA2B ASCL2 FLT4 RIPOR1 NFATC2 VAMP8 MAPKBP1 KDM2A AXIN1 SLAMF8 PLAUR TENT4A NFAM1 FKBP4 CREBBP GNA15 DGKA NCF4 DNAJB6 ARID3A RPS6KA1 TMIGD3 DOCK6 MICAL1 PIK3R5 PLA2G7 SERPINH1 SH2B2 MUC6 MAFF MAFG CARD11 MAFK LILRB3 E2F4 IFI30 P2RY11 SIGLEC14 ADORA3"
1.00046583865965e-07,124,3287,"Cell surface receptor signaling pathway ","FGR SEMA3F FLT4 IRAK3 HCK JAK3 TSPAN14 IL10RA WNT5B LTBR CD86 TNFRSF10B G0S2 RHBDF2 GDF15 CD180 IRAK2 C5AR2 TLE3 EPHA2 FZD7 FCER1G IFNGR2 DEDD2 SH2B2 SYK SEMA6B BCL2L1 HAP1 IFNLR1 IRS2 SPRY4 PALM3 FZD9 ADA C5AR1 CPNE1 AXIN1 AGPAT2 SPI1 LAT2 ANGPT2 TREM2 CXCR4 PLVAP ARRB2 TMC8 RELA MICB LILRA2 CEBPA GIPR PLAUR TYROBP TNFRSF1B JADE2 JMJD6 SSH1 MKNK2 ZMYND8 EBI3 GIT1 PTPN6 DOK1 CHAC1 CHRNA10 GPS2 CMTM3 PRDM15 VAV1 IL2RG FERMT3 BCL2L11 CCR5 MSX1 CREBRF MLKL TNIP2 PTAFR CHST11 KLHL6 PTPN2 NPY2R IL3RA EIF4EBP1 NFAM1 P2RY11 SHANK3 ADORA3 SIAH2 CREBBP SH3BP1 NFATC2 IL15RA NCF1 RPS6KA4 HSPA1A NOD2 SIGLEC9 CDA IL17RA PTBP1 WAS CYBA BIRC5 NCF4 TNFSF13B RELB TCIRG1 ARPC1B FURIN BATF TNFRSF14 RUNX1 ASGR2 INPP5D IL16 TNFRSF10D MUC6 ARAP1 CARD9 CARD11 LILRB3 IFI30"
1.11125504780328e-07,30,368,"Lymphocyte differentiation ","JAK3 FCER1G SYK LGALS9 SPN POU2F2 SPI1 BCL3 JMJD6 RELB TCIRG1 PTPN6 SASH3 GPS2 HLX VAV1 CMTM7 FZD7 BATF INPP5D PTPN2 FZD9 ADA CARD11 MAFB NFAM1 SLAMF8 RUNX1 CD86 NFATC2"
1.50472867895733e-07,53,968,"Regulation of defense response ","TNFAIP8L2 TLR6 TLR7 MICB GPSM3 NOD2 GRN CYBA LGALS9 RELA IFNLR1 LILRA2 FGR TNFRSF1B IRAK3 TREM2 GPS2 IRAK2 HAVCR2 AOAH ARRB2 VAV1 FCER1G TNIP2 CEBPB C1QA PTPN2 NUPR1 IL17RA CARD9 ADA C5AR1 CEBPA SHANK3 PROC VAMP8 MAPKBP1 HSPA1A SIGLEC10 VSIG4 SLAMF8 CREBBP HCK RELB PTPN6 C5AR2 PLA2G7 IFNGR2 C1QC SYK C1QB MUC6 CARD11"
